 8312, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 17: Performance: Quickly locate figures based on x-y coordinates, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8313, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 18: Interoperability: Support data exchange via the clipboard, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8314, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 19: Usability: Support operating system specific user interfaces, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8315, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 20: Performance: Strive for a short startup latency, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8316, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 21: Recoverability: periodic auto-save, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8338, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 01: Paint figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8339, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 02: Create figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8340, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8341, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8342, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8343, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8344, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 07: Change properties of figures, inner, T, T, T, InnerPureSurroundedT, CT, 1, 0, 0, 1, 0, 0
 8345, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8346, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8347, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8348, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8349, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8350, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8351, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8352, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8353, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8354, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8355, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8356, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8357, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8358, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8359, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 01: Paint figures and connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8360, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 02: Create figures and connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8361, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 03: Delete figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8362, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 04: Delete connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8363, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 05: Select and deselect figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8364, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 06: Move- scale- or rotate figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8365, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 07: Change properties of figures, leaf, T, T, T, LeafPureSurroundedT, CT, 1, 0, 0, 0, 0, 0
 8366, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 08: Edit  text in figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8367, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 09: Align figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8368, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 10: Change z-ordering, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
