 1898, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1900, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1902, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, T, T, T, LeafPureSurroundedT, CT, 1, 0, 0, 0, 0, 0
 1904, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1906, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1908, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar.-init-(net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel;)V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1910, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1912, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1914, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1916, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
